Strain_ZZ,Stress_ZZ
0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000021e-03,-6.999999999999998579e+01
-2.000000000000000042e-03,-1.399999999999999716e+02
-3.000000000000000062e-03,-2.099999999999999716e+02
-4.000000000000000083e-03,-2.800000000000000000e+02
-5.000000000000000104e-03,-3.500000000000000000e+02
-6.000000000000000125e-03,-4.199999999999999432e+02
-7.000000000000001013e-03,-4.900000000000000000e+02
-8.000000000000000167e-03,-5.600000000000000000e+02
-8.999999999999999320e-03,-6.300000000000000000e+02
-1.000000000000000021e-02,-7.000000000000000000e+02
-1.099999999999999936e-02,-7.699999999999998863e+02
-1.200000000000000025e-02,-8.399999999999998863e+02
-1.300000000000000114e-02,-9.013665747162349362e+02
-1.400000000000000203e-02,-9.013718839154245188e+02
-1.499999999999999944e-02,-9.013718842821439239e+02
-1.400000000000000203e-02,-8.313718842821435828e+02
-1.300000000000000114e-02,-7.613718842821435828e+02
-1.200000000000000198e-02,-6.913718842821436965e+02
-1.100000000000000110e-02,-6.213718842821435828e+02
-1.000000000000000021e-02,-5.513718842821438102e+02
-9.000000000000001055e-03,-4.813718842821435260e+02
-8.000000000000000167e-03,-4.113718842821436965e+02
-7.000000000000001013e-03,-3.413718842821436965e+02
-6.000000000000000992e-03,-2.713718842821438670e+02
-5.000000000000001839e-03,-2.013718842821438670e+02
-4.000000000000001818e-03,-1.313718842821438386e+02
-3.000000000000000496e-03,-6.137188428214378177e+01
-2.000000000000000909e-03,8.628115717856204014e+00
-1.000000000000001322e-03,7.862811571785620401e+01
0.000000000000000000e+00,1.486281157178562182e+02
