Strain_ZZ,Stress_ZZ
0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000021e-03,-7.000000000000000000e+01
-2.000000000000000042e-03,-1.400000000000000000e+02
-3.000000000000000062e-03,-2.100000000000000000e+02
-4.000000000000000083e-03,-2.800000000000000000e+02
-5.000000000000000104e-03,-3.500000000000000000e+02
-6.000000000000000125e-03,-4.200000000000000000e+02
-7.000000000000001013e-03,-4.900000000000000568e+02
-8.000000000000000167e-03,-5.600000000000000000e+02
-8.999999999999999320e-03,-6.300000000000000000e+02
-1.000000000000000021e-02,-7.000000000000000000e+02
-1.099999999999999936e-02,-7.700000000000000000e+02
-1.200000000000000025e-02,-8.400000000000000000e+02
-1.300000000000000114e-02,-9.013665747162353910e+02
-1.400000000000000203e-02,-9.013718839154246325e+02
-1.499999999999999944e-02,-9.013718842821434691e+02
-1.400000000000000203e-02,-8.313718842821436965e+02
-1.300000000000000114e-02,-7.613718842821435828e+02
-1.200000000000000025e-02,-6.913718842821435828e+02
-1.100000000000000110e-02,-6.213718842821435828e+02
-1.000000000000000021e-02,-5.513718842821435828e+02
-9.000000000000001055e-03,-4.813718842821436397e+02
-8.000000000000001901e-03,-4.113718842821436965e+02
-7.000000000000001013e-03,-3.413718842821436397e+02
-6.000000000000000992e-03,-2.713718842821436397e+02
-5.000000000000001839e-03,-2.013718842821436965e+02
-4.000000000000000951e-03,-1.313718842821436397e+02
-3.000000000000001363e-03,-6.137188428214366809e+01
-2.000000000000001776e-03,8.628115717856303490e+00
-1.000000000000000888e-03,7.862811571785636033e+01
0.000000000000000000e+00,1.486281157178564172e+02
