variant,yield_beta,parameter,loss,grad_ad,grad_fd,abs_error,rel_error,plastic_count,apex_count
hard,hard,E,-180.0562268527662,-1.2603562076299053e-05,-0.0027770876782601305,0.0027644841161838314,0.9954615901489307,64,0
hard,hard,k,-180.0562268527662,-3.5834795495503036,0.2867983119749198,3.8702778615252234,1.0800334724976763,64,0
softplus_beta_1,1.0,E,-180.05622682285681,-1.2603562068916503e-05,-0.002777087677832526,0.0027644841157636094,0.9954615901508902,64,0
softplus_beta_1,1.0,k,-180.05622682285681,-3.583479549560665,0.28679831197436556,3.8702778615350306,1.0800334724972902,64,0
softplus_beta_5,5.0,E,-180.05622685276617,-1.2603562076298619e-05,-0.0027770876782601305,0.002764484116183832,0.9954615901489308,64,0
softplus_beta_5,5.0,k,-180.05622685276617,-3.5834795495503036,0.2867983119749056,3.870277861525209,1.0800334724976723,64,0
softplus_beta_10,10.0,E,-180.05622685276617,-1.2603562076298619e-05,-0.0027770876782601305,0.002764484116183832,0.9954615901489308,64,0
softplus_beta_10,10.0,k,-180.05622685276617,-3.5834795495503036,0.2867983119749056,3.870277861525209,1.0800334724976723,64,0
softplus_beta_50,50.0,E,-180.05622685276617,-1.2603562076296017e-05,-0.0027770876782601305,0.0027644841161838345,0.9954615901489318,64,0
softplus_beta_50,50.0,k,-180.05622685276617,-3.5834795495503067,0.2867983119749056,3.8702778615252122,1.0800334724976723,64,0
softplus_beta_100,100.0,E,-180.05622685276617,-1.2603562076296017e-05,-0.0027770876782601305,0.0027644841161838345,0.9954615901489318,64,0
softplus_beta_100,100.0,k,-180.05622685276617,-3.5834795495503067,0.2867983119749056,3.8702778615252122,1.0800334724976723,64,0
softplus_beta_500,500.0,E,-180.0562268527662,-1.2603562076297318e-05,-0.0027770876782599887,0.0027644841161836914,0.9954615901489311,64,0
softplus_beta_500,500.0,k,-180.0562268527662,-3.5834795495503045,0.2867983119749056,3.87027786152521,1.0800334724976723,64,0
