displacement,regime,plastic_count,ad_E,fd_E,rel_err_E,ad_k,fd_k,rel_err_k,taylor_pass,status
-0.005,elastic,0,-0.0005000000000000003,-0.0005000000000000071,1.3444106938820066e-14,0.0,0.0,0.0,False,PASS
-0.01,elastic,0,-0.0010000000000000007,-0.0010000000000000141,1.3444106938820066e-14,0.0,0.0,0.0,False,PASS
-0.015,elastic,0,-0.0015000000000000005,-0.0014999999999999502,3.353798720221826e-14,0.0,0.0,0.0,False,PASS
-0.02,elastic,0,-0.0020000000000000013,-0.0020000000000000282,1.3444106938820066e-14,0.0,0.0,0.0,False,PASS
-0.023,elastic,0,-0.0022999999999999987,-0.00230000000000004,1.791290545845585e-14,0.0,0.0,0.0,False,PASS
-0.024,elastic,0,-0.002400000000000001,-0.002399999999999949,2.168404344971008e-14,0.0,0.0,0.0,False,PASS
-0.025,elastic,0,-0.0025000000000000005,-0.0025,1.7347234759768068e-16,0.0,0.0,0.0,False,PASS
-0.0255,elastic,0,-0.002549999999999998,-0.0025499999999999546,1.7007092901733416e-14,0.0,0.0,0.0,False,PASS
-0.026,plastic(64/64),64,-2.746657277297171e-05,-2.7466572859680127e-05,3.1568706684374645e-09,-3.5588949211006535,-3.5588937980303115,3.155671541181511e-07,True,PASS
-0.0265,plastic(64/64),64,-2.4541736949817896e-05,-2.4541737488448234e-05,2.1947522603145936e-08,-3.5636822443008693,-3.563681296683683,2.659095625074175e-07,True,PASS
-0.027,plastic(64/64),64,-2.203945922412201e-05,-2.2039460631617658e-05,6.386252691638989e-08,-3.5677941939489974,-3.567793387400684,2.2606357587496415e-07,True,PASS
-0.028,plastic(64/64),64,-1.8017645570148934e-05,-1.801764899767022e-05,1.9023132752045873e-07,-3.5744402112295957,-3.5744396132305667,1.6729865199116812e-07,True,PASS
-0.029,plastic(64/64),64,-1.496624384603228e-05,-1.496624871322183e-05,3.252110561546606e-07,-3.5795195164886278,-3.5795190616451578,1.2706830285571887e-07,True,PASS
-0.03,plastic(64/64),64,-1.2603562076298185e-05,-1.260356721388689e-05,4.07629730374718e-07,-3.5834795495503085,-3.583479196604742,9.849241824054371e-08,True,PASS
-0.031,plastic(64/64),64,-1.0741483847236024e-05,-1.0741488580379155e-05,4.4064126638355674e-07,-3.5866208928667698,-3.5866206145776403,7.759089623099039e-08,True,PASS
