Axial_Strain_pct,Mean_Stress_p_MPa,Deviatoric_Stress_q_MPa,Vol_Strain_pct
0.000000000000000000e+00,-3.507903978024063463e+01,1.619032605241875089e+01,6.013549676612681832e-02
2.500000000000000000e-01,2.325429355308743951e+01,1.911903260524211987e+02,-3.986450323386418748e-02
5.000000000000000000e-01,8.158762688642178773e+01,3.661903260524208008e+02,-1.398645032338659278e-01
7.500000000000001110e-01,1.399209602197566085e+02,5.411903260524202324e+02,-2.398645032338684313e-01
1.000000000000000000e+00,1.982542935530925376e+02,7.161903260524188681e+02,-3.398645032338729610e-01
1.250000000000000000e+00,2.458262571269430055e+02,8.589062167737440632e+02,-3.950836631022074386e-01
1.500000000000000222e+00,2.813484110783141432e+02,9.654726786279849193e+02,-4.001576128262206988e-01
1.750000000000000222e+00,3.076618838080967748e+02,1.044413096817316045e+03,-3.669082901554802101e-01
2.000000000000000000e+00,3.271542843177382451e+02,1.102890298346253076e+03,-3.052716929358695319e-01
2.250000000000000000e+00,3.415940354657705029e+02,1.146209551790361274e+03,-2.226073718640980692e-01
2.500000000000000000e+00,3.522909887367392798e+02,1.178300407027315941e+03,-1.243665500587764761e-01
2.750000000000000444e+00,3.602153689571801465e+02,1.202073552264099590e+03,-1.458705889676763234e-02
3.000000000000000444e+00,3.660858748910698637e+02,1.219685070066200524e+03,1.037400680592096142e-01
3.250000000000000000e+00,3.704348913703821040e+02,1.232732119498805332e+03,2.283991713715754768e-01
3.500000000000000444e+00,3.736568071980826176e+02,1.242397854925902266e+03,3.577489038085480688e-01
3.750000000000000000e+00,3.760437727169594382e+02,1.249558751388884502e+03,4.905733791378621422e-01
4.000000000000000000e+00,3.778122243359958361e+02,1.254864106244973755e+03,6.259718351827279204e-01
4.250000000000000000e+00,3.791224976592525877e+02,1.258794926278591674e+03,7.632769761359201599e-01
4.500000000000000000e+00,3.800933708602985348e+02,1.261707545990551807e+03,9.019944561521556770e-01
4.750000000000000000e+00,3.808128355868265658e+02,1.263865940309520965e+03,1.041758054575150805e+00
5.000000000000000000e+00,3.813460760437478712e+02,1.265465661839684799e+03,1.182296469855775189e+00
